report_month,station_label_as_reported,parameter,parameter_as_reported,statistic_as_reported,value_as_reported,value,unit,is_missing,page_number,table_number,extraction_method,source_url,source_sha256
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,SO2,SO2 -24 hr,Max,39.45,39.45,ppb,False,6,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
2013-01,CAMS-3 (Darus-Salam) AIRQUIS,SO2,SO2 -24 hr,Min,7.60,7.6,ppb,False,6,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/cd8622bac5a3474f9d85863441a3294b.pdf,b688507e0720bb08014093bbf0dac765b8dd423109854bcb0e807ef12947198d
2013-02,CAMS-1 (Sangshad Bhaban),CO,CO -1 hr,Average,0.31,0.31,ppm,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/1eb52f26dfae46e2a555f55660f392b6.pdf,0283ad2eb0d670e396ed2b799a2c04acf0a9b9747f24e466ba513af7e7f823cf
2013-02,CAMS-1 (Sangshad Bhaban),CO,CO -1 hr,Data capture(%),27.23,27.23,percent,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/1eb52f26dfae46e2a555f55660f392b6.pdf,0283ad2eb0d670e396ed2b799a2c04acf0a9b9747f24e466ba513af7e7f823cf
2013-02,CAMS-1 (Sangshad Bhaban),CO,CO -1 hr,Excedance(Hour),0.00,0.0,hours,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/1eb52f26dfae46e2a555f55660f392b6.pdf,0283ad2eb0d670e396ed2b799a2c04acf0a9b9747f24e466ba513af7e7f823cf
2013-02,CAMS-1 (Sangshad Bhaban),CO,CO -1 hr,Max,1.02,1.02,ppm,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/1eb52f26dfae46e2a555f55660f392b6.pdf,0283ad2eb0d670e396ed2b799a2c04acf0a9b9747f24e466ba513af7e7f823cf
2013-02,CAMS-1 (Sangshad Bhaban),CO,CO -1 hr,Min,0.06,0.06,ppm,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/1eb52f26dfae46e2a555f55660f392b6.pdf,0283ad2eb0d670e396ed2b799a2c04acf0a9b9747f24e466ba513af7e7f823cf
2013-02,CAMS-1 (Sangshad Bhaban),CO,CO -8 hr,Average,0.28,0.28,ppm,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/1eb52f26dfae46e2a555f55660f392b6.pdf,0283ad2eb0d670e396ed2b799a2c04acf0a9b9747f24e466ba513af7e7f823cf
2013-02,CAMS-1 (Sangshad Bhaban),CO,CO -8 hr,Data capture(%),30.36,30.36,percent,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/1eb52f26dfae46e2a555f55660f392b6.pdf,0283ad2eb0d670e396ed2b799a2c04acf0a9b9747f24e466ba513af7e7f823cf
2013-02,CAMS-1 (Sangshad Bhaban),CO,CO -8 hr,Excedance(Hour),0.00,0.0,hours,False,7,1,pdfplumber_legacy_fixed_schema,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/1eb52f26dfae46e2a555f55660f392b6.pdf,0283ad2eb0d670e396ed2b799a2c04acf0a9b9747f24e466ba513af7e7f823cf
